,id,label
0,0,2
1,1,2
2,2,2
3,3,2
4,4,1
5,5,0
6,6,1
7,7,2
8,8,1
9,9,2
10,10,1
11,11,1
12,12,2
13,13,1
14,14,1
15,15,1
16,16,2
17,17,2
18,18,2
19,19,1
20,20,2
21,21,2
22,22,1
23,23,1
24,24,2
25,25,0
26,26,0
27,27,2
28,28,1
29,29,1
30,30,1
31,31,1
32,32,2
33,33,0
34,34,1
35,35,1
36,36,1
37,37,0
38,38,0
39,39,0
40,40,1
41,41,2
42,42,1
43,43,2
44,44,0
45,45,2
46,46,1
47,47,2
48,48,0
49,49,1
50,50,1
51,51,0
52,52,1
53,53,2
54,54,2
55,55,0
56,56,0
57,57,1
58,58,2
59,59,0
60,60,1
61,61,2
62,62,2
63,63,1
64,64,2
65,65,0
66,66,2
67,67,2
68,68,2
69,69,1
70,70,1
71,71,2
72,72,1
73,73,1
74,74,2
75,75,2
76,76,2
77,77,1
78,78,2
79,79,1
80,80,0
81,81,0
82,82,2
83,83,2
84,84,2
85,85,1
86,86,1
87,87,0
88,88,2
89,89,1
90,90,0
91,91,2
92,92,1
93,93,2
94,94,2
95,95,1
96,96,2
97,97,2
98,98,0
99,99,0
100,100,2
101,101,2
102,102,1
103,103,0
104,104,1
105,105,2
106,106,1
107,107,1
108,108,1
109,109,0
110,110,0
111,111,2
112,112,0
113,113,0
114,114,0
115,115,0
116,116,0
117,117,1
118,118,1
119,119,1
120,120,2
121,121,2
122,122,2
123,123,1
124,124,1
125,125,1
126,126,1
127,127,1
128,128,1
129,129,2
130,130,1
131,131,1
132,132,2
133,133,1
134,134,1
135,135,1
136,136,1
137,137,1
138,138,1
139,139,2
140,140,0
141,141,2
142,142,2
143,143,1
144,144,2
145,145,2
146,146,0
147,147,1
148,148,2
149,149,2
150,150,0
151,151,2
152,152,0
153,153,2
154,154,0
155,155,1
156,156,2
157,157,2
158,158,0
159,159,1
160,160,1
161,161,1
162,162,1
163,163,2
164,164,1
165,165,0
166,166,1
167,167,0
168,168,2
169,169,2
170,170,2
171,171,2
172,172,1
173,173,1
174,174,2
175,175,1
176,176,2
177,177,1
178,178,2
179,179,1
180,180,2
181,181,0
182,182,0
183,183,2
184,184,2
185,185,1
186,186,0
187,187,1
188,188,0
189,189,1
190,190,2
191,191,2
192,192,1
193,193,1
194,194,2
195,195,0
196,196,1
197,197,0
198,198,2
199,199,1
200,200,1
201,201,0
202,202,1
203,203,0
204,204,1
205,205,2
206,206,2
207,207,1
208,208,2
209,209,1
210,210,1
