id,label
0,1
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,1
15,1
16,0
17,0
18,1
19,0
20,0
21,1
22,0
23,1
24,1
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,1
38,0
39,1
40,1
41,0
42,0
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,0
63,0
64,0
65,1
66,0
67,0
68,1
69,0
70,1
71,1
72,0
73,0
74,1
75,0
76,1
77,1
78,0
79,0
80,0
81,1
82,1
83,0
84,0
85,1
86,0
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,1
134,1
135,1
136,0
137,0
138,1
139,0
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,0
166,1
167,1
168,1
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,1
203,1
204,1
205,1
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,0
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,0
247,0
248,1
249,0
250,0
251,1
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,1
267,0
268,0
269,0
270,0
271,1
272,1
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,0
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,1
306,0
307,0
308,0
309,0
310,0
311,1
312,1
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,1
321,1
322,1
323,0
324,0
325,0
326,1
327,1
328,0
329,1
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,0
338,0
339,0
340,1
341,1
342,1
343,0
344,0
345,0
346,0
347,1
348,0
349,1
350,0
351,0
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,0
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,0
370,1
371,0
372,1
373,1
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,1
393,1
394,1
395,0
396,1
397,0
398,1
399,1
400,1
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,0
410,1
411,0
412,0
413,1
414,0
415,0
416,0
417,0
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,0
432,1
433,0
434,0
435,0
436,1
437,1
438,0
439,0
440,1
441,1
442,0
443,1
444,1
445,1
446,1
447,0
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,0
457,1
458,1
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,0
471,1
472,0
473,1
474,1
475,1
476,1
477,1
478,0
479,1
480,0
481,1
482,1
483,0
484,0
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,0
500,0
501,1
502,0
503,1
504,1
505,1
506,1
507,0
508,0
509,1
510,0
511,1
512,1
513,1
514,0
515,0
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,1
529,0
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,1
545,1
546,0
547,1
548,0
549,1
550,1
551,0
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,0
563,0
564,1
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,1
577,0
578,0
579,1
580,1
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,1
602,1
603,0
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,0
613,1
614,0
615,0
616,0
617,1
618,0
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,0
632,1
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,1
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,1
659,0
660,1
661,0
662,1
663,0
664,1
665,1
666,0
667,0
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,0
687,1
688,1
689,1
690,0
691,0
692,1
693,0
694,0
695,1
696,0
697,1
698,0
699,1
700,1
701,1
702,0
703,1
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,0
718,0
719,1
720,1
721,0
722,1
723,1
724,1
725,0
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,1
735,1
736,0
737,0
738,1
739,1
740,0
741,1
742,1
743,1
744,1
745,1
746,0
747,1
748,1
749,1
750,0
751,0
752,0
753,1
754,1
755,1
756,0
757,1
758,0
759,0
760,0
761,1
762,1
763,1
764,0
765,1
766,0
767,1
768,0
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,1
777,0
778,1
779,0
780,1
781,1
782,0
783,0
784,1
785,0
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,1
801,0
802,1
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,1
811,1
812,1
